, 距离（米） ,showName,建成年代,楼栋数, 总户数 , 成交均价（元） , 在售均价（元） ,在售套数,纬度,经度,详情页链接,地图链接,rentTotal,1室房租均价
5011000001917," 2,747 ",民主新村,1995.0,20.0, 218 ," 62,675 "," 64,342 ",2.0,31.16177,121.3578724,http://m.sh.lianjia.com/xiaoqu/5011000001917.html,"http://m.sh.lianjia.com/map/pos?pos=121.3578724,31.16177",5.0,
5011000002033," 2,708 ",交大农学院家属楼,1991.0,11.0, 170 ," 67,321 "," 59,115 ",1.0,31.15551643,121.3644633,http://m.sh.lianjia.com/xiaoqu/5011000002033.html,"http://m.sh.lianjia.com/map/pos?pos=121.3644633,31.15551643",,
5011000002068," 3,066 ",万兆家园（二期）（别墅）,2002.0,28.0, 28 , -   ," 72,213 ",1.0,31.15647937,121.3582232,http://m.sh.lianjia.com/xiaoqu/5011000002068.html,"http://m.sh.lianjia.com/map/pos?pos=121.3582232,31.15647937",,
5011000002077," 2,723 ",海星公寓,1995.0,4.0, 48 ," 39,869 "," 53,012 ",2.0,31.16502775,121.3562145,http://m.sh.lianjia.com/xiaoqu/5011000002077.html,"http://m.sh.lianjia.com/map/pos?pos=121.3562145,31.16502775",,
5011000002311," 3,870 ",西郊紫薇花园,2016.0,30.0, 505 , -   ," 111,269 ",6.0,31.21476,121.389511,http://m.sh.lianjia.com/xiaoqu/5011000002311.html,"http://m.sh.lianjia.com/map/pos?pos=121.389511,31.21476",7.0,
5011000002313," 5,174 ",梅花园,1997.0,2.0, 288 ," 52,496 "," 60,056 ",9.0,31.15595595,121.4203047,http://m.sh.lianjia.com/xiaoqu/5011000002313.html,"http://m.sh.lianjia.com/map/pos?pos=121.4203047,31.15595595",1.0,
5011000002342," 6,249 ",长宁路1488弄3支弄,1985.0,10.0, 254 ," 59,056 "," 69,552 ",5.0,31.22430176,121.4162481,http://m.sh.lianjia.com/xiaoqu/5011000002342.html,"http://m.sh.lianjia.com/map/pos?pos=121.4162481,31.22430176",4.0,
5011000002362," 5,404 ",花苑村玉兰园,1989.0,61.0," 1,080 "," 46,238 "," 65,020 ",9.0,31.149953,121.419716,http://m.sh.lianjia.com/xiaoqu/5011000002362.html,"http://m.sh.lianjia.com/map/pos?pos=121.419716,31.149953",5.0,
5011000002470," 2,329 ",蒲汇公寓,1997.0,4.0, 40 ," 57,744 "," 66,134 ",2.0,31.16124823,121.3633799,http://m.sh.lianjia.com/xiaoqu/5011000002470.html,"http://m.sh.lianjia.com/map/pos?pos=121.3633799,31.16124823",,
5011000002476," 5,272 ",上海诗林（公寓）,2004.0,13.0, 292 ," 20,157 "," 42,457 ",13.0,31.13963649,121.3452216,http://m.sh.lianjia.com/xiaoqu/5011000002476.html,"http://m.sh.lianjia.com/map/pos?pos=121.3452216,31.13963649",10.0,
5011000002492," 5,964 ",玉屏小区,1990.0,29.0, 612 ," 55,133 "," 77,542 ",8.0,31.219387,121.417104,http://m.sh.lianjia.com/xiaoqu/5011000002492.html,"http://m.sh.lianjia.com/map/pos?pos=121.417104,31.219387",5.0,
5011000002513, 638 ,锦绣江南（二期）,2004.0,15.0, 284 ," 56,523 "," 72,928 ",7.0,31.176296,121.383377,http://m.sh.lianjia.com/xiaoqu/5011000002513.html,"http://m.sh.lianjia.com/map/pos?pos=121.383377,31.176296",4.0,
